Source file,Module,Requirement responsibilities,State,Existing test location
backend/ghar_sajag/model.py,S01,"F01, E02, E06, E07, NFR-08",Reference code / comments added,make contracts verifies three required-field sets and API surface
backend/ghar_sajag/notifications.py,B05,"F07, F08, F09, F12, F13, F14, E05",Reference code / comments added,"B04/B05 route tests, F09 notice test, F14 summary test and TEST exclusion"
backend/ghar_sajag/operations.py,B08,"F02, F11, F13, E01, E04, E05, E08, E09, E10, NFR-09",Reference code / comments added,B07/B08 snapshot test and diagnostics assertions
backend/ghar_sajag/queries.py,B07,"F05, F06, F09, F11, F12, F14, E04",Reference code / comments added,test_B07_B08_snapshot_separates_activity_from_reachability
backend/ghar_sajag/service.py,B03,"E02, E05, NFR-03",Reference code / comments added,test_B03_ingest_is_idempotent
backend/ghar_sajag/store.py,B08,"F02, F11, F13, E01, E04, E05, E08, E09, E10, NFR-09",Reference code / comments added,B07/B08 snapshot test and diagnostics assertions
firmware/common/security/security.cpp,S03,"F03, E08, E09, NFR-06",Reference code / comments added,"C++ tests cover install, rollback, revoke and manifest policy"
firmware/common/security/security.hpp,S03,"F03, E08, E09, NFR-06",Reference code / comments added,"C++ tests cover install, rollback, revoke and manifest policy"
firmware/hub/components/cloud/cloud_sync.cpp,H08,"F12, E02, E03, E04, E07, E10, NFR-03",Reference code / comments added,C++ tests cover urgent ordering and application-level retirement; simulator replays one offline record
firmware/hub/components/cloud/cloud_sync.hpp,H08,"F12, E02, E03, E04, E07, E10, NFR-03",Reference code / comments added,C++ tests cover urgent ordering and application-level retirement; simulator replays one offline record
firmware/hub/components/coverage/coverage.cpp,H04,"F08, E01, E03",Reference code / comments added,"C++ tests cover never-seen, fresh and 190-second expired lease"
firmware/hub/components/coverage/coverage.hpp,H04,"F08, E01, E03",Reference code / comments added,"C++ tests cover never-seen, fresh and 190-second expired lease"
firmware/hub/components/ingest/ingest.cpp,H01,"F05, E02, NFR-04",Reference code / comments added,C++ tests cover known/unknown peer and callback-to-worker copy
firmware/hub/components/ingest/ingest.hpp,H01,"F05, E02, NFR-04",Reference code / comments added,C++ tests cover known/unknown peer and callback-to-worker copy
firmware/hub/components/lifecycle/config_service.cpp,H07,"F02, F03, F04, F10, E06, E07, E09, NFR-07",Reference code / comments added,C++ tests cover valid apply and stale-version rejection
firmware/hub/components/lifecycle/config_service.hpp,H07,"F02, F03, F04, F10, E06, E07, E09, NFR-07",Reference code / comments added,C++ tests cover valid apply and stale-version rejection
firmware/hub/components/rules/routine_service.cpp,H05,"F04, F05, F06, F07, F08, F09, F10, E03, E06, AI05, NFR-01",Reference code / comments added,"C++ tests cover evidence, missing, duplicate deadline, coverage unknown and privacy"
firmware/hub/components/rules/routine_service.hpp,H05,"F04, F05, F06, F07, F08, F09, F10, E03, E06, AI05, NFR-01",Reference code / comments added,"C++ tests cover evidence, missing, duplicate deadline, coverage unknown and privacy"
firmware/hub/components/storage/journal.cpp,H02,"F05, F06, F07, E02, E03, E05, E10, NFR-03, NFR-05",Reference code / comments added,"C++ tests cover store, duplicate, pending outbox and application ACK"
firmware/hub/components/storage/journal.hpp,H02,"F05, F06, F07, E02, E03, E05, E10, NFR-03, NFR-05",Reference code / comments added,"C++ tests cover store, duplicate, pending outbox and application ACK"
firmware/hub/components/time/clock.cpp,H03,"F04, F08, E03, E06",Reference code / comments added,C++ tests verify unanchored suppression and trusted bounded estimate
firmware/hub/components/time/clock.hpp,H03,"F04, F08, E03, E06",Reference code / comments added,C++ tests verify unanchored suppression and trusted bounded estimate
firmware/hub/components/ui/resident_ui.cpp,H06,"F02, F06, F07, F10, E03, AI05, NFR-02, NFR-10",Reference code / comments added,C++ tests verify Call family event and offline wording
firmware/hub/components/ui/resident_ui.hpp,H06,"F02, F06, F07, F10, E03, AI05, NFR-02, NFR-10",Reference code / comments added,C++ tests verify Call family event and offline wording
firmware/hub/runtime/hub_runtime.cpp,H05,"F04, F05, F06, F07, F08, F09, F10, E03, E06, AI05, NFR-01",Reference code / comments added,"C++ tests cover evidence, missing, duplicate deadline, coverage unknown and privacy"
firmware/hub/runtime/hub_runtime.hpp,H05,"F04, F05, F06, F07, F08, F09, F10, E03, E06, AI05, NFR-01",Reference code / comments added,"C++ tests cover evidence, missing, duplicate deadline, coverage unknown and privacy"
firmware/node/components/lifecycle/lifecycle.cpp,N04,"F03, E07, E09",Reference code / comments added,"C++ tests cover invalid capability, valid apply, rollback and 120-second window"
firmware/node/components/lifecycle/lifecycle.hpp,N04,"F03, E07, E09",Reference code / comments added,"C++ tests cover invalid capability, valid apply, rollback and 120-second window"
firmware/node/components/power/power.cpp,N03,"E01, NFR-05",Reference code / comments added,C++ tests verify low/unknown bands and retry wake plan
firmware/node/components/power/power.hpp,N03,"E01, NFR-05",Reference code / comments added,C++ tests verify low/unknown bands and retry wake plan
firmware/node/components/radio/node_radio.cpp,N02,"E01, E02, NFR-04",Reference code / comments added,"C++ tests cover immediate send, volatile ACK retention and durable retirement"
firmware/node/components/radio/node_radio.hpp,N02,"E01, E02, NFR-04",Reference code / comments added,"C++ tests cover immediate send, volatile ACK retention and durable retirement"
firmware/node/components/sensing/sensing.cpp,N01,"F05, F09",Reference code / comments added,"tests/cpp/test_main.cpp: initial, bounce and stable-rise checks"
firmware/node/components/sensing/sensing.hpp,N01,"F05, F09",Reference code / comments added,"tests/cpp/test_main.cpp: initial, bounce and stable-rise checks"
firmware/node/components/storage/node_store.cpp,N05,"E02, E05, NFR-03",Reference code / comments added,C++ tests cover persist-before-send and ACK class behavior; NodeRuntime composition tested
firmware/node/components/storage/node_store.hpp,N05,"E02, E05, NFR-03",Reference code / comments added,C++ tests cover persist-before-send and ACK class behavior; NodeRuntime composition tested
firmware/node/runtime/node_runtime.cpp,N02,"E01, E02, NFR-04",Reference code / comments added,"C++ tests cover immediate send, volatile ACK retention and durable retirement"
firmware/node/runtime/node_runtime.hpp,N02,"E01, E02, NFR-04",Reference code / comments added,"C++ tests cover immediate send, volatile ACK retention and durable retirement"
host/logging/file_log_sink.cpp,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
host/logging/file_log_sink.hpp,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
host/simulator/main.cpp,T01,"E08, E10, V01, AI01, AI03, NFR-08",Reference code / comments added,VERIFICATION_REPORT.md records the successful 7 September 2026 run
scripts/instrument_cpp_logging.py,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
scripts/instrument_js_logging.py,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
scripts/instrument_python_logging.py,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
scripts/verify_contracts.py,T01,"E08, E10, V01, AI01, AI03, NFR-08",Reference code / comments added,VERIFICATION_REPORT.md records the successful 7 September 2026 run
shared/include/gs/domain.hpp,S01,"F01, E02, E06, E07, NFR-08",Reference code / comments added,make contracts verifies three required-field sets and API surface
shared/include/gs/feature_flags.hpp,S04,"V01, AI01, AI07, E07, E10, NFR-08",Reference code / comments added,tests/cpp/test_product.cpp; invalid PRODUCT check
shared/include/gs/interaction.hpp,H09,"AI01, AI02, AI03, AI04, AI05, AI08, NFR-04, NFR-07",Reference code / comments added,tests/cpp/test_product.cpp
shared/include/gs/logging.hpp,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
shared/include/gs/ports.hpp,S01,"F01, E02, E06, E07, NFR-08",Reference code / comments added,make contracts verifies three required-field sets and API surface
shared/include/gs/product.hpp,S04,"V01, AI01, AI07, E07, E10, NFR-08",Reference code / comments added,tests/cpp/test_product.cpp; invalid PRODUCT check
shared/include/gs/rules.hpp,S02,"F04, F05, F06, F08, F09, F10, E06, AI08, NFR-01",Reference code / comments added,C++ rule tests and HubRuntime composition
shared/src/logging.cpp,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
shared/src/rules.cpp,S02,"F04, F05, F06, F08, F09, F10, E06, AI08, NFR-01",Reference code / comments added,C++ rule tests and HubRuntime composition
tests/cpp/test_main.cpp,T01,"E08, E10, V01, AI01, AI03, NFR-08",Reference code / comments added,VERIFICATION_REPORT.md records the successful 7 September 2026 run
tests/cpp/test_product.cpp,T01,"E08, E10, V01, AI01, AI03, NFR-08",Reference code / comments added,VERIFICATION_REPORT.md records the successful 7 September 2026 run
tests/js/app.test.mjs,T01,"E08, E10, V01, AI01, AI03, NFR-08",Reference code / comments added,VERIFICATION_REPORT.md records the successful 7 September 2026 run
tests/python/test_backend.py,T01,"E08, E10, V01, AI01, AI03, NFR-08",Reference code / comments added,VERIFICATION_REPORT.md records the successful 7 September 2026 run
tests/python/test_logging.py,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
tools/hil/power_profile.py,T02,"F03, E09, E10, NFR-05",Reference code / comments added,Syntax/import covered by backend run context; physical execution deliberately pending
tools/hil/provision.py,T02,"F03, E09, E10, NFR-05",Reference code / comments added,Syntax/import covered by backend run context; physical execution deliberately pending
tools/hil/runner.py,T02,"F03, E09, E10, NFR-05",Reference code / comments added,Syntax/import covered by backend run context; physical execution deliberately pending
tools/logs/analyze_logs.py,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
tools/sim/scenario_matrix.py,T01,"E08, E10, V01, AI01, AI03, NFR-08",Reference code / comments added,VERIFICATION_REPORT.md records the successful 7 September 2026 run
