ID,Requirement,Scope,Modules,Component status,End to end,Boundary,Acceptance experiment
AI05,Monitoring priority over conversation,Future AI,"H05, H06, H09, H10",Pending,Pending,Coordinator and load/latency tests not implemented,Monitoring never waits for model response; urgent prompt preempts interaction.
AI06,Audio and model-provider integration,Future AI,"H11, B09",Pending,Pending,"No live provider, microphone capture or speech synthesis implemented",Bounded audio buffers; authenticated provider path; explain offline/unavailable state.
AI07,Capability and cost policy,Future AI,"S04, B09, A06, B01",Pending,Pending,No capability endpoint or spending limiter implemented,"Server enforces tenant/edition/consent/quota; UI reflects availability, not authorization."
AI08,Diagnostic and monitoring separation,Future AI,"S05, H09, S02",Partial,Pending,Metadata-only hooks exist; live adapter and incident-isolation integration tests pending,Controller logs no audio/transcript; AI response cannot acknowledge or resolve incidents.
NFR-01,Safety of interpretation,Base quality gate,"S02, H05, A02",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,"No fall, medical, emergency-dispatch or wellbeing claim from P0 evidence."
NFR-02,Responsiveness,Base quality gate,"H06, A02",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,Local valid button confirmation within 500 ms; dashboard displays data age.
NFR-03,Availability,Base quality gate,"N05, H02, H08, B03",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,Local operation during WAN outage; recovery replays unsent events without duplication.
NFR-04,Performance,Base quality gate,"N02, H01, H09",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,State-owner queues are bounded; no unbounded retry or blocking work in radio callback.
NFR-05,Resource use,Base quality gate,"N03, H02, S05, T02",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,Measure RAM/flash/CPU/battery on actual ESP32 hardware; fail release if agreed budgets are exceeded.
NFR-06,Security,Base quality gate,"S03, B01, B06",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,"Unique credentials, encrypted/authenticated transport, signed OTA and least-privilege access."
NFR-07,Privacy,Base quality gate,"B02, H07, H09",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,Camera-free/no always-on listening P0; consent withdrawal is effective and auditable.
NFR-08,Maintainability,Base quality gate,"S01, S04, T01",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,"Module IDs, contracts, deterministic rules, automated tests and reproducible builds."
NFR-09,Supportability,Base quality gate,"S05, B08",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,Bounded structured `.txt` diagnostics; ERROR always; TRACE build-gated; no secrets.
NFR-10,Accessibility,Base quality gate,"H06, A01, A02, A04",Partial host reference,Pending,Quality target retained from uploaded SRD; target measurements/integration pending.,"Large resident actions, clear labels, visible local state and caregiver-readable uncertainty."
